T,s,p,q
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.96000000,0.00140000
1761315929969,ETHUSDT,3903.95000000,0.03850000
1761315929969,ETHUSDT,3903.95000000,0.00140000
1761315929969,ETHUSDT,3903.95000000,0.00150000
1761315929969,ETHUSDT,3903.93000000,0.00130000
1761315929969,ETHUSDT,3903.93000000,0.00130000
1761315929969,ETHUSDT,3903.93000000,0.00140000
1761315929969,ETHUSDT,3903.92000000,0.00140000
1761315929969,ETHUSDT,3903.90000000,0.07690000
1761315929969,ETHUSDT,3903.90000000,0.01540000
1761315929969,ETHUSDT,3903.90000000,0.00150000
1761315929969,ETHUSDT,3903.90000000,0.00140000
1761315929982,BTCUSDT,109820.96000000,0.04392000
1761315929982,BTCUSDT,109820.96000000,0.00158000
1761315929985,BTCUSDT,109820.95000000,0.00030000
1761315929996,ETHUSDT,3903.85000000,0.00150000
1761315929996,ETHUSDT,3903.85000000,0.00150000
1761315929996,ETHUSDT,3903.85000000,0.00140000
1761315929996,ETHUSDT,3903.85000000,0.25180000
1761315930019,ETHUSDT,3903.86000000,0.00150000
1761315930129,BTCUSDT,109820.95000000,0.00025000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00150000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00150000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.85000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00150000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930130,ETHUSDT,3903.84000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00150000
1761315930137,ETHUSDT,3903.81000000,0.00140000
1761315930137,ETHUSDT,3903.81000000,0.00150000
1761315930137,ETHUSDT,3903.81000000,0.00150000
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.80000000,0.00140000
